Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1785436690,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1785436691,50,,Aggregated,0.000000,0.000000,7,13,73,76,90,94,95,96,97,97,97,156,0,7,30.297094795409627,1.7128749750554562,97.43891700054519,18049.3141025641
1785436692,100,,Aggregated,0.000000,0.000000,5,9,22,25,73,90,94,95,97,97,97,365,0,5,18.299612433455042,1.2620000052265823,97.43891700054519,8257.70684931507
1785436693,150,,Aggregated,106.000000,0.000000,4,6,13,24,32,76,91,94,97,97,97,658,0,4,13.666833887886225,1.2620000052265823,97.43891700054519,5054.943768996961
1785436694,200,,Aggregated,121.500000,0.000000,4,5,8,15,26,36,89,93,96,97,97,1035,0,4,10.777934168573415,0.9283330000471324,97.43891700054519,3548.8676328502415
1785436695,250,,Aggregated,157.000000,0.000000,3,4,6,9,26,31,77,90,96,97,97,1499,0,3,9.156962855349514,0.9283330000471324,97.43891700054519,2714.2408272181456
1785436696,300,,Aggregated,199.750000,0.000000,3,4,5,7,26,31,71,89,95,97,97,2067,0,3,8.165623562586871,0.9283330000471324,97.43891700054519,2191.7900338655054
1785436697,350,,Aggregated,240.200000,0.000000,3,3,4,6,24,29,40,78,95,97,97,2730,0,3,7.210815157312746,0.9283330000471324,97.43891700054519,1837.5091575091576
1785436698,400,,Aggregated,282.000000,0.000000,2,3,4,5,22,29,35,74,95,97,97,3471,0,2,6.565168806605883,0.9283330000471324,97.43891700054519,1632.7251512532412
1785436699,450,,Aggregated,327.571429,0.000000,2,3,4,4,21,27,33,71,94,97,97,4335,0,2,5.898351012735822,0.8317080209963024,97.43891700054519,1501.1739331026529
1785436700,500,,Aggregated,371.375000,0.000000,2,3,3,4,15,25,31,40,94,97,97,5281,0,2,5.381067437325454,0.7829999958630651,97.43891700054519,1382.9185760272676
1785436701,500,,Aggregated,415.333333,0.000000,2,3,3,4,9,24,30,37,94,97,97,6197,0,2,4.846739026414865,0.7829999958630651,97.43891700054519,1292.854284331128
1785436702,500,,Aggregated,462.400000,0.000000,2,2,3,3,7,23,29,35,94,97,97,7089,0,2,4.464810777042293,0.7829999958630651,97.43891700054519,1231.1620820990267
1785436703,500,,Aggregated,544.500000,0.000000,2,2,3,3,6,22,29,34,94,97,97,7999,0,2,4.192401864261008,0.7829999958630651,97.43891700054519,1212.4749343667959
1785436704,500,,Aggregated,619.800000,0.000000,2,2,3,3,5,21,29,33,94,97,97,8907,0,2,3.9597351626896695,0.7829999958630651,97.43891700054519,1185.970023576962
1785436705,500,,Aggregated,687.300000,0.000000,2,2,3,3,5,20,28,32,93,97,97,9807,0,2,3.759957063908889,0.7829999958630651,97.43891700054519,1166.4528398083003
1785436706,500,,Aggregated,745.400000,0.000000,2,2,3,3,4,16,27,31,93,96,97,10715,0,2,3.6022841316234753,0.7829999958630651,97.43891700054519,1147.1072328511432
1785436707,500,,Aggregated,796.100000,0.000000,2,2,3,3,4,12,26,31,93,96,97,11633,0,2,3.472447556082528,0.7829999958630651,97.43891700054519,1128.8954697842346
1785436708,500,,Aggregated,838.400000,0.000000,2,2,2,3,4,10,26,30,93,96,97,12539,0,2,3.343343008605399,0.7829999958630651,97.43891700054519,1118.358561288779
1785436709,500,,Aggregated,867.700000,0.000000,2,2,2,3,4,8,25,30,91,96,97,13452,0,2,3.2425347843658368,0.7829999958630651,97.43891700054519,1106.8380909901873
1785436710,500,,Aggregated,891.100000,0.000000,2,2,2,3,4,7,25,29,90,96,97,14370,0,2,3.1610174241806943,0.7829999958630651,97.43891700054519,1085.497077244259
1785436711,500,,Aggregated,904.500000,0.000000,2,2,2,3,4,7,24,29,90,96,97,15279,0,2,3.0849376073236745,0.7829999958630651,97.43891700054519,1063.7355847895806
1785436712,500,,Aggregated,907.100000,0.000000,2,2,2,3,4,6,24,29,90,96,97,16173,0,2,3.0165430448616006,0.7829999958630651,97.43891700054519,1057.3723489766896
1785436713,500,,Aggregated,905.900000,0.000000,2,2,2,3,4,6,23,29,90,96,97,17081,0,2,2.957010762236168,0.7829999958630651,97.43891700054519,1056.4291903284352
1785436714,500,,Aggregated,908.400000,0.000000,2,2,2,3,3,5,23,29,90,96,97,17981,0,2,2.9060863801022827,0.7829999958630651,97.43891700054519,1055.2143373560982
1785436715,500,,Aggregated,908.000000,0.000000,2,2,2,3,3,5,23,28,90,96,97,18891,0,2,2.85507797255003,0.7829999958630651,97.43891700054519,1052.2793923032132
1785436716,500,,Aggregated,907.100000,0.000000,2,2,2,3,3,5,22,28,90,96,97,19804,0,2,2.8061042333885315,0.7829999958630651,97.43891700054519,1052.8361947081398
