id,url_id,user_id,event_type,timestamp,details
1,1,1,created,2025-10-12 20:32:37,"{""short_code"":""demo01"",""original_url"":""https://example.com/demo/landing""}"
2,2,341,created,2025-03-26 11:27:06,"{""short_code"":""7dgVFn"",""original_url"":""https://acme.dev/forest/beacon/2""}"
3,3,284,created,2025-11-13 21:33:08,"{""short_code"":""7zDKBD"",""original_url"":""https://acme.dev/young/window/3""}"
4,4,305,created,2025-02-25 21:51:32,"{""short_code"":""9nMjTK"",""original_url"":""https://opswise.net/rapid/meadow/4""}"
5,5,260,created,2025-09-17 19:59:05,"{""short_code"":""0ENnEp"",""original_url"":""https://relay.cloud/dawn/garden/5""}"
6,6,136,created,2025-11-14 07:30:58,"{""short_code"":""yJ04xm"",""original_url"":""https://example.com/quiet/network/6""}"
7,7,149,created,2025-12-16 14:16:58,"{""short_code"":""maAmLR"",""original_url"":""https://hackstack.io/navy/island/7""}"
8,8,261,created,2025-07-06 00:30:35,"{""short_code"":""Uzur13"",""original_url"":""https://relay.cloud/rapid/uplink/8""}"
9,9,272,created,2025-07-17 07:22:21,"{""short_code"":""ieji8t"",""original_url"":""https://hackstack.io/amber/pioneer/9""}"
10,10,173,created,2025-03-26 07:43:34,"{""short_code"":""fV54NC"",""original_url"":""https://relay.cloud/lively/pioneer/10""}"
11,11,295,created,2025-12-13 10:20:08,"{""short_code"":""hW0ogM"",""original_url"":""https://example.com/rapid/trail/11""}"
12,12,165,created,2025-12-03 01:46:29,"{""short_code"":""pcASAz"",""original_url"":""https://opswise.net/dawn/anchor/12""}"
13,13,254,created,2026-02-14 14:45:41,"{""short_code"":""PpX3LU"",""original_url"":""https://example.com/rapid/beacon/13""}"
14,14,155,created,2025-12-29 08:27:37,"{""short_code"":""VvliC1"",""original_url"":""https://hackstack.io/gold/yard/14""}"
15,15,273,created,2025-01-29 10:40:18,"{""short_code"":""irqcej"",""original_url"":""https://relay.cloud/rapid/trail/15""}"
16,16,306,created,2025-02-06 15:56:47,"{""short_code"":""OZoAlm"",""original_url"":""https://hackstack.io/quiet/signal/16""}"
17,17,381,created,2025-12-02 20:39:47,"{""short_code"":""GBFhVp"",""original_url"":""https://relay.cloud/gold/journey/17""}"
18,18,45,created,2026-01-02 06:59:14,"{""short_code"":""SGQA3H"",""original_url"":""https://example.com/brisk/trail/18""}"
19,19,149,created,2025-03-02 07:28:46,"{""short_code"":""0Oy28t"",""original_url"":""https://acme.dev/lively/network/19""}"
20,20,149,created,2025-07-05 06:13:04,"{""short_code"":""zdlezd"",""original_url"":""https://acme.dev/proud/engine/20""}"
21,21,21,created,2025-01-12 05:49:12,"{""short_code"":""tijaFw"",""original_url"":""https://relay.cloud/keen/garden/21""}"
22,22,60,created,2026-02-06 05:32:14,"{""short_code"":""5mlEPU"",""original_url"":""https://acme.dev/forest/journey/22""}"
23,23,151,created,2025-10-07 03:32:57,"{""short_code"":""lmihmM"",""original_url"":""https://acme.dev/ivory/lagoon/23""}"
24,24,87,created,2025-03-23 12:03:34,"{""short_code"":""Z1YZ5c"",""original_url"":""https://acme.dev/lively/network/24""}"
25,25,257,created,2025-03-18 10:34:25,"{""short_code"":""MMoF7z"",""original_url"":""https://relay.cloud/keen/meadow/25""}"
26,26,109,created,2025-06-02 00:32:18,"{""short_code"":""wyc9ZQ"",""original_url"":""https://example.com/harbor/quartz/26""}"
27,27,337,created,2025-06-23 03:04:09,"{""short_code"":""c5govL"",""original_url"":""https://seeded.app/navy/river/27""}"
28,28,71,created,2025-03-22 03:10:59,"{""short_code"":""C59ETO"",""original_url"":""https://acme.dev/gold/garden/28""}"
29,29,74,created,2025-01-06 22:35:25,"{""short_code"":""65ol3l"",""original_url"":""https://hackstack.io/lively/pioneer/29""}"
30,30,42,created,2025-03-19 00:12:45,"{""short_code"":""9cri9i"",""original_url"":""https://hackstack.io/cobalt/river/30""}"
31,31,23,created,2025-11-20 16:58:31,"{""short_code"":""LSRloR"",""original_url"":""https://acme.dev/tidy/delta/31""}"
32,32,258,created,2025-08-13 14:10:17,"{""short_code"":""Nd4415"",""original_url"":""https://relay.cloud/dawn/anchor/32""}"
33,33,340,created,2026-01-23 04:00:45,"{""short_code"":""X2FCwu"",""original_url"":""https://opswise.net/silver/signal/33""}"
34,34,320,created,2025-07-25 03:03:51,"{""short_code"":""rQBxQx"",""original_url"":""https://acme.dev/amber/valley/34""}"
35,35,22,created,2025-05-22 18:58:53,"{""short_code"":""I3EPwA"",""original_url"":""https://hackstack.io/warm/zenith/35""}"
36,36,101,created,2025-04-04 10:20:08,"{""short_code"":""of6ZCb"",""original_url"":""https://seeded.app/urban/field/36""}"
37,37,165,created,2026-01-29 16:29:03,"{""short_code"":""gUxpVQ"",""original_url"":""https://seeded.app/mellow/island/37""}"
38,38,398,created,2025-10-15 15:49:22,"{""short_code"":""gIQ2z1"",""original_url"":""https://seeded.app/proud/uplink/38""}"
39,39,40,created,2025-10-06 06:34:32,"{""short_code"":""CYLaJO"",""original_url"":""https://hackstack.io/navy/kernel/39""}"
40,40,76,created,2025-05-16 09:30:06,"{""short_code"":""Ba1BP1"",""original_url"":""https://opswise.net/young/network/40""}"
41,41,328,created,2025-03-03 22:16:49,"{""short_code"":""3zA6Uq"",""original_url"":""https://relay.cloud/quiet/valley/41""}"
42,42,130,created,2025-07-02 08:05:03,"{""short_code"":""ZvcnV6"",""original_url"":""https://acme.dev/brisk/orbit/42""}"
43,43,125,created,2025-04-14 19:31:39,"{""short_code"":""veOhtJ"",""original_url"":""https://example.com/dawn/beacon/43""}"
44,44,373,created,2025-01-28 03:29:41,"{""short_code"":""lVl8HA"",""original_url"":""https://example.com/ember/yard/44""}"
45,45,189,created,2025-02-16 21:09:30,"{""short_code"":""bDd3EC"",""original_url"":""https://opswise.net/harbor/uplink/45""}"
46,46,399,created,2026-02-15 22:15:50,"{""short_code"":""mHQSiq"",""original_url"":""https://acme.dev/proud/zenith/46""}"
47,47,363,created,2026-01-17 06:32:28,"{""short_code"":""mM8cAg"",""original_url"":""https://relay.cloud/brisk/trail/47""}"
48,48,152,created,2025-07-22 20:15:12,"{""short_code"":""8lgNyH"",""original_url"":""https://relay.cloud/tidy/field/48""}"
